time,open,high,low,close,volume
2017-10-09 09:00:00,158.8,159.1,158.7,159.0,101775.0
2017-10-09 09:15:00,159.1,159.4,159.1,159.4,56534.0
2017-10-09 09:30:00,159.4,159.5,159.1,159.3,69450.0
2017-10-09 09:45:00,159.3,159.4,159.2,159.4,22366.0
2017-10-09 10:00:00,159.3,159.3,158.9,158.9,32237.0
2017-10-09 10:15:00,158.9,159.0,158.7,159.0,46702.0
2017-10-09 10:30:00,158.9,158.9,158.7,158.7,38063.0
2017-10-09 10:45:00,158.8,158.8,158.5,158.5,28703.0
2017-10-09 11:00:00,158.5,158.7,158.5,158.5,35096.0
2017-10-09 11:15:00,158.5,158.6,158.4,158.5,54002.0
2017-10-09 11:30:00,158.5,158.6,158.5,158.5,32163.0
2017-10-09 11:45:00,158.4,158.5,158.4,158.4,53945.0
2017-10-09 12:00:00,158.4,158.6,158.4,158.5,28572.0
2017-10-09 12:15:00,158.5,158.6,158.4,158.5,40343.0
2017-10-09 12:30:00,158.5,158.6,158.5,158.5,9018.0
2017-10-09 12:45:00,158.5,158.5,158.4,158.4,14093.0
2017-10-09 13:00:00,158.4,158.5,158.4,158.4,13457.0
2017-10-09 13:15:00,158.5,158.6,158.4,158.6,35350.0
2017-10-09 13:30:00,158.6,158.7,158.5,158.6,26975.0
2017-10-09 13:45:00,158.6,158.6,158.5,158.6,29241.0
2017-10-09 14:00:00,158.5,158.6,158.5,158.5,18778.0
2017-10-09 14:15:00,158.5,158.6,158.5,158.6,24890.0
2017-10-09 14:30:00,158.6,158.6,158.5,158.5,31678.0
2017-10-09 14:45:00,158.6,158.7,158.5,158.5,43471.0
2017-10-09 15:00:00,158.5,158.7,158.5,158.7,29030.0
2017-10-09 15:15:00,158.7,158.9,158.6,158.7,45227.0
2017-10-09 15:30:00,158.8,159.2,158.7,159.1,92447.0
2017-10-09 15:45:00,159.1,159.2,158.8,158.9,110057.0
2017-10-09 16:00:00,158.8,158.8,158.5,158.8,238129.0
2017-10-09 16:15:00,158.8,158.9,158.7,158.9,818107.0
2017-10-10 09:00:00,158.8,158.9,158.5,158.5,116918.0
2017-10-10 09:15:00,158.5,158.9,158.5,158.7,83221.0
2017-10-10 09:30:00,158.7,158.9,158.7,158.8,36598.0
2017-10-10 09:45:00,158.9,159.0,158.8,159.0,48940.0
2017-10-10 10:00:00,159.1,159.1,158.7,158.8,55694.0
2017-10-10 10:15:00,158.7,158.7,158.2,158.3,86402.0
2017-10-10 10:30:00,158.3,158.7,158.3,158.5,115876.0
2017-10-10 10:45:00,158.6,159.0,158.6,159.0,104482.0
2017-10-10 11:00:00,158.9,159.2,158.9,159.1,47096.0
2017-10-10 11:15:00,159.2,159.2,159.0,159.1,20665.0
2017-10-10 11:30:00,159.0,159.2,159.0,159.1,46612.0
2017-10-10 11:45:00,159.0,159.2,158.9,159.1,59953.0
2017-10-10 12:00:00,159.1,159.2,159.1,159.2,44396.0
2017-10-10 12:15:00,159.2,159.3,159.1,159.2,16127.0
2017-10-10 12:30:00,159.2,159.3,159.2,159.3,22092.0
2017-10-10 12:45:00,159.4,159.7,159.4,159.7,143297.0
2017-10-10 13:00:00,159.6,159.7,159.6,159.7,4932.0
2017-10-10 13:15:00,159.6,159.6,159.5,159.6,30449.0
2017-10-10 13:30:00,159.5,159.8,159.5,159.7,23045.0
2017-10-10 13:45:00,159.8,159.9,159.7,159.7,73891.0
2017-10-10 14:00:00,159.7,159.8,159.7,159.7,78878.0
2017-10-10 14:15:00,159.7,159.7,159.5,159.6,21051.0
2017-10-10 14:30:00,159.6,159.8,159.6,159.7,13576.0
2017-10-10 14:45:00,159.7,159.8,159.7,159.7,52725.0
2017-10-10 15:00:00,159.7,160.1,159.7,160.1,94812.0
2017-10-10 15:15:00,160.1,160.3,160.1,160.1,29841.0
2017-10-10 15:30:00,160.1,160.4,160.1,160.2,84781.0
2017-10-10 15:45:00,160.2,160.5,160.2,160.4,60044.0
2017-10-10 16:00:00,160.4,160.7,160.4,160.7,90278.0
2017-10-10 16:15:00,160.6,160.7,160.1,160.1,826798.0
2017-10-11 09:00:00,160.5,160.5,159.3,159.4,265783.0
2017-10-11 09:15:00,159.3,159.5,159.1,159.3,142209.0
2017-10-11 09:30:00,159.4,159.7,159.3,159.6,77511.0
2017-10-11 09:45:00,159.5,159.7,159.5,159.7,59376.0
2017-10-11 10:00:00,159.7,159.7,159.5,159.5,51234.0
